datetime,load_kw,pv_kw,charge_kw,discharge_kw,soc_kwh,net_with_kw,net_without_kw
2025-01-01 00:00:00,22.68,0.0,0.0,0.0,325.0,22.68,22.68
2025-01-01 01:00:00,22.14,0.0,0.0,0.0,325.0,22.14,22.14
2025-01-01 02:00:00,24.48,0.0,0.0,0.0,325.0,24.48,24.48
2025-01-01 03:00:00,22.62,0.0,0.0,0.0,325.0,22.62,22.62
2025-01-01 04:00:00,22.38,0.0,0.0,0.0,325.0,22.38,22.38
2025-01-01 05:00:00,22.56,0.0,0.0,0.0,325.0,22.56,22.56
2025-01-01 06:00:00,22.92,0.0,0.0,0.0,325.0,22.92,22.92
2025-01-01 07:00:00,23.82,0.0,0.0,0.0,325.0,23.82,23.82
2025-01-01 08:00:00,24.9,2.7903501311138506,0.0,0.0,325.0,22.109649868886148,22.109649868886148
2025-01-01 09:00:00,23.88,5.38363220562845,0.0,0.0,325.0,18.49636779437155,18.49636779437155
2025-01-01 10:00:00,22.68,7.21735954604724,0.0,0.0,325.0,15.462640453952758,15.462640453952758
2025-01-01 11:00:00,22.08,8.166566664498395,0.0,0.0,325.0,13.913433335501603,13.913433335501603
2025-01-01 12:00:00,21.6,8.166566664498395,0.0,0.0,325.0,13.433433335501606,13.433433335501606
2025-01-01 13:00:00,22.68,7.21735954604724,0.0,0.0,325.0,15.462640453952758,15.462640453952758
2025-01-01 14:00:00,21.9,5.38363220562845,0.0,0.0,325.0,16.516367794371547,16.516367794371547
2025-01-01 15:00:00,29.7,2.7903501311138506,0.0,0.0,325.0,26.90964986888615,26.90964986888615
2025-01-01 16:00:00,31.38,0.0,0.0,0.0,325.0,31.38,31.38
2025-01-01 17:00:00,31.38,0.0,0.0,0.0,325.0,31.38,31.38
2025-01-01 18:00:00,31.32,0.0,0.0,0.0,325.0,31.32,31.32
2025-01-01 19:00:00,35.76,0.0,0.0,0.0,325.0,35.76,35.76
2025-01-01 20:00:00,32.04,0.0,0.0,0.0,325.0,32.04,32.04
2025-01-01 21:00:00,31.08,0.0,0.0,0.0,325.0,31.08,31.08
2025-01-01 22:00:00,34.2,0.0,0.0,0.0,325.0,34.2,34.2
2025-01-01 23:00:00,24.24,0.0,0.0,0.0,325.0,24.24,24.24
2025-01-02 00:00:00,22.62,0.0,0.0,0.0,325.0,22.62,22.62
2025-01-02 01:00:00,23.88,0.0,0.0,0.0,325.0,23.88,23.88
2025-01-02 02:00:00,22.26,0.0,0.0,0.0,325.0,22.26,22.26
2025-01-02 03:00:00,23.4,0.0,0.0,0.0,325.0,23.4,23.4
2025-01-02 04:00:00,22.2,0.0,0.0,0.0,325.0,22.2,22.2
2025-01-02 05:00:00,22.32,0.0,63.8802124651705,0.0,381.21458696935,86.2002124651705,22.32
2025-01-02 06:00:00,23.34,0.0,0.0,0.0,381.21458696935,23.34,23.34
2025-01-02 07:00:00,23.04,0.0,0.0,23.04,358.17458696935,0.0,23.04
2025-01-02 08:00:00,22.02,2.814689792103548,0.0,19.2053102078965,338.969276761454,-4.618527782440651e-14,19.205310207896453
2025-01-02 09:00:00,22.38,5.409528132765291,0.0,16.9704718672347,321.998804894219,7.105427357601002e-15,16.970471867234707
2025-01-02 10:00:00,22.62,7.244355919530059,0.0,15.3756440804699,306.623160813749,4.263256414560601e-14,15.375644080469943
2025-01-02 11:00:00,22.56,8.194132670926114,0.0,14.3658673290739,292.257293484675,-1.5987211554602254e-14,14.365867329073884
2025-01-02 12:00:00,22.02,8.194132670926114,0.0,13.8258673290739,278.431426155601,-1.4210854715202004e-14,13.825867329073885
2025-01-02 13:00:00,23.34,7.244355919530059,0.0,16.0956440804699,262.335782075131,4.263256414560601e-14,16.095644080469942
2025-01-02 14:00:00,22.02,5.409528132765291,0.0,16.6104718672347,245.725310207896,7.105427357601002e-15,16.610471867234708
2025-01-02 15:00:00,31.5,2.814689792103548,0.0,28.6853102078965,217.04,-4.618527782440651e-14,28.685310207896453
2025-01-02 16:00:00,50.4,0.0,0.0,50.4,166.64,0.0,50.4
2025-01-02 17:00:00,53.64,0.0,0.0,53.64,113.0,0.0,53.64
2025-01-02 18:00:00,48.0,0.0,0.0,48.0,65.0,0.0,48.0
2025-01-02 19:00:00,45.78,0.0,68.9631090850996,0.0,125.687535994888,114.7431090850996,45.78
2025-01-02 20:00:00,35.64,0.0,0.0,0.0,125.687535994888,35.64,35.64
2025-01-02 21:00:00,25.92,0.0,0.0,0.0,125.687535994888,25.92,25.92
2025-01-02 22:00:00,23.64,0.0,0.0,0.0,125.687535994888,23.64,23.64
2025-01-02 23:00:00,23.1,0.0,0.0,0.0,125.687535994888,23.1,23.1
2025-01-03 00:00:00,22.8,0.0,0.0,0.0,125.687535994888,22.8,22.8
2025-01-03 01:00:00,22.32,0.0,0.0,0.0,125.687535994888,22.32,22.32
2025-01-03 02:00:00,22.56,0.0,75.0,0.0,191.687535994888,97.56,22.56
2025-01-03 03:00:00,22.26,0.0,75.0,0.0,257.687535994888,97.26,22.26
2025-01-03 04:00:00,22.56,0.0,75.0,0.0,323.687535994888,97.56,22.56
2025-01-03 05:00:00,22.74,0.0,75.0,0.0,389.687535994888,97.74,22.74
2025-01-03 06:00:00,22.74,0.0,75.0,0.0,455.687535994888,97.74,22.74
2025-01-03 07:00:00,22.14,0.0,0.0,22.14,433.547535994888,0.0,22.14
2025-01-03 08:00:00,22.26,2.8410625116741666,0.0,19.4189374883258,414.128598506562,3.552713678800501e-14,19.418937488325835
2025-01-03 09:00:00,22.86,5.437581648841178,0.0,17.4224183511588,396.706180155403,2.1316282072803006e-14,17.42241835115882
2025-01-03 10:00:00,22.38,7.2735979382126175,0.0,15.1064020617874,381.599778093616,-1.7763568394002505e-14,15.106402061787382
2025-01-03 11:00:00,30.36,8.223989903828194,0.0,22.1360100961718,359.463767997444,7.105427357601002e-15,22.136010096171805
2025-01-03 12:00:00,45.9,8.223989903828194,0.0,37.6760100961718,321.787757901272,7.105427357601002e-15,37.67601009617181
2025-01-03 13:00:00,48.6,7.2735979382126175,0.0,41.3264020617874,280.461355839485,-1.4210854715202004e-14,41.326402061787384
2025-01-03 14:00:00,46.98,5.437581648841178,0.0,41.5424183511588,238.918937488326,1.4210854715202004e-14,41.542418351158815
2025-01-03 15:00:00,50.04,2.8410625116741666,0.0,47.1989374883258,191.72,3.552713678800501e-14,47.19893748832583
2025-01-03 16:00:00,41.4,0.0,0.0,41.4,150.32,0.0,41.4
2025-01-03 17:00:00,45.6,0.0,0.0,45.6,104.72,0.0,45.6
2025-01-03 18:00:00,39.72,0.0,0.0,39.72,65.0,0.0,39.72
2025-01-03 19:00:00,39.72,0.0,0.0,0.0,65.0,39.72,39.72
2025-01-03 20:00:00,38.16,0.0,0.0,0.0,65.0,38.16,38.16
2025-01-03 21:00:00,36.42,0.0,0.0,0.0,65.0,36.42,36.42
2025-01-03 22:00:00,37.14,0.0,0.0,0.0,65.0,37.14,37.14
